experiment_id,date_max,n_repet,random_state,extra_sufixo_mark,fi_cut,n_fib,corte_fib,n_fib_menor,md_center_f_i,mf_center_f_i,mss_center_f_i,msl_center_f_i,md_center_p_i,mf_center_p_i,mss_center_p_i,msl_center_p_i,tscv,n_iter_t_filter,n_iter_t_pred,amp,metricas
8e6e14c2-b462-4edd-9e73-f2b283ba9f8e,2026-01-01,5,1,_fev_26_1,0.95,20,2,9,3,2,3,1,2,4,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  502.1    642.9 -0.0   -0.7  1.0       2  817800  12019000"
ca53c733-b38a-4630-819d-307516b39b3a,2026-01-01,5,1,_fev_26_1,0.95,20,2,9,1,1,1,3,1,2,1,5,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  534.0    595.8  0.5    0.3  0.7       8  817800  12019000"
5684d942-5d55-42a5-96ed-00a19a1a01d0,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,4,5,1,2,2,6,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr  r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  382.7    956.9 NaN    NaN  1.0       2  817800  12019000"
20d56b7b-0b84-4100-affe-b152d355e6dd,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,1,1,1,1,1,2,1,1,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr  r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  314.0    432.5 NaN    NaN  1.0       8  817800  12019000"
601a1b69-21e5-4451-8fce-ec1655d2ccc3,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,3,7,3,1,4,1,3,3,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr  r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  664.2    956.9 NaN    NaN  1.0       2  817800  12019000"
0ccf461b-bc5d-4a9b-9bdf-ff9526091b6a,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,3,4,1,4,4,2,3,3,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr  r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  374.8    432.5 NaN    NaN  1.0       8  817800  12019000"
8eafd4df-6094-4617-ac78-d78bbc68f40c,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,7,2,1,2,4,1,3,3,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  515.1    642.9 -0.1   -0.7  1.0       2  817800  12019000"
3486c510-2af1-4592-b875-af2afa5b53c2,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,1,1,2,2,2,1,1,4,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  516.2    544.7  0.0   -0.1  0.6       8  817800  12019000"
90b7f19a-c8a9-46a0-92e1-65eed2f8e46d,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,2,4,1,0,1,5,1,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  737.1    642.9 -1.2   -0.7  1.0       2  817800  12019000"
3cc87527-42ca-4c04-bfce-b44f3c271e9d,2026-01-01 00:00:00,5,1,_fev_26_1,0.95,20,2,9,1,3,1,2,2,3,3,0,"TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None)",2,2,1,"    rmse  rmse_lr   r2  r2_lr  acc  CO_MES  CO_GEO   CO_PRDT
0  615.8    544.7 -0.4   -0.1  1.0       8  817800  12019000"
