names,importances,experiment_id,CO_MES,var_target
"('02', 101, 3808, 'sm3')",0.02684151224397553,d1a0d44f-ccfe-483c-bb61-68a3f7384d41,2,kt
"('03', '-4:-46', 'mm')",0.027323961984109846,d1a0d44f-ccfe-483c-bb61-68a3f7384d41,2,oc
"('11', '-22:-48', 'mm')",0.018102828228126578,69baa4d6-b51a-4ea9-ad53-cd76989f3f8f,3,kt
"('04', '-8:-40', 'mm')",0.05,69baa4d6-b51a-4ea9-ad53-cd76989f3f8f,3,oc
"('07', '-6:-40', 'mm')",0.01913639677950778,f02c4821-03d6-4d9f-bd65-0ff139f41536,4,kt
"('11', '-28:-50', 'mm')",0.021439471326410765,f02c4821-03d6-4d9f-bd65-0ff139f41536,4,oc
ANO,0.01674983972796012,93f5208f-67c1-4c2c-ab6c-0f759e4c37c0,5,kt
"('04', '-6:-36', 'mm')",0.03,93f5208f-67c1-4c2c-ab6c-0f759e4c37c0,5,oc
"('06', 101, 3105, 'sm12')",0.01572016881728401,de5f2fab-a5a1-4c76-b038-9653fcff3328,6,kt
"('11', '-11:-39', 'mm')",0.03,de5f2fab-a5a1-4c76-b038-9653fcff3328,6,oc
"('06', '-6:-48', 'mm')",0.011970374835042574,7800c96c-2d91-443f-aa08-fc86b4c9c5ae,7,kt
"('01', '-8:-38', 'mm')",0.014901960784313726,7800c96c-2d91-443f-aa08-fc86b4c9c5ae,7,oc
"('08', 22, 3103, 'sm3')",0.013452012937685222,f54203b1-3615-4f8a-b4fe-2827aeb1e696,8,kt
"('10', '-18:-42', 'mm')",0.026660844975193124,f54203b1-3615-4f8a-b4fe-2827aeb1e696,8,oc
"('05', '-10:-42', 'mm')",0.01764897026715538,3c731943-874f-465c-89eb-2fa91615b571,9,kt
"('05', '3:-61', 'mm')",0.019787450004242667,3c731943-874f-465c-89eb-2fa91615b571,9,oc
"('11', '-12:-38', 'mm')",0.014828211255570909,90ea6514-b58d-4c08-bb9a-7ab4504abafe,10,kt
"('04', '-7:-41', 'mm')",0.012120028409090908,90ea6514-b58d-4c08-bb9a-7ab4504abafe,10,oc
"('03', '-20:-50', 'mm')",0.012703564706988846,8193cc04-5f7f-46db-8bf3-ded37294c7cf,11,kt
"('03', '-5:-41', 'mm')",0.021309905372405374,8193cc04-5f7f-46db-8bf3-ded37294c7cf,11,oc
"('12', 101, 3102, 'preço_rel')",0.012357898465310537,19125df9-cafe-427b-9249-f17eac65e067,12,kt
"('08', '-22:-50', 'mm')",0.01,19125df9-cafe-427b-9249-f17eac65e067,12,oc
"('09', '-29:-55', 'mm')",0.02,91f555a7-e6c6-4945-b087-a9ca23518806,1,kt
"('05', '-21:-55', 'mm')",0.014335196966775914,91f555a7-e6c6-4945-b087-a9ca23518806,1,oc
