ANO,CO_MES,CO_GEO,CO_PRDT,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
36,2,817800,12019000,1184.480712890625,1975.5627655410767,2141.363923920526,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,1.0
36,8,817800,12019000,233.94680786132812,512.9209486897786,666.4220140245225,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,0.92
37,2,817800,12019000,2659.262939453125,1448.7301281738282,1985.145157877604,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,0.83
37,8,817800,12019000,865.5308837890625,418.1496926879883,505.69036254882815,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,0.98
38,2,817800,12019000,2227.215576171875,1663.202826538086,2516.871927642822,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,1.0
38,8,817800,12019000,1229.0491943359375,1152.7537945556642,550.5639506022136,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,1.0
39,2,817800,12019000,2062.690673828125,1645.8135150146484,2682.8964391072586,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,0.97
39,8,817800,12019000,1154.363525390625,1168.3059411621093,850.8098185221354,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,1.0
40,2,817800,12019000,2299.85546875,2254.1220971679686,2777.4631868998213,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,0.97
40,8,817800,12019000,1858.3785400390625,1212.6420364379883,1074.5132548014321,8be0c6bf-1995-4ad2-ae3b-382425ffba89,1.0,1.0,1.0
41,2,817800,12019000,,2305.289658203125,2677.1715698242188,8be0c6bf-1995-4ad2-ae3b-382425ffba89,,1.0,1.0
41,8,817800,12019000,,1537.9680224609374,1478.7522705078122,8be0c6bf-1995-4ad2-ae3b-382425ffba89,,1.0,0.75
